,Fold,accuracy,precision,recall,f1-macro,f1-micro,fpr
0,0,0.8148148148148148,0.8137083624505008,0.8148148148148148,0.7969924812030075,0.8148148148148148,0.18629163754949918
1,1,0.8235294117647058,0.8217498220410276,0.8235294117647058,0.8070878194318329,0.8235294117647058,0.17825017795897236
2,2,0.8148148148148148,0.8201555564116723,0.8148148148148148,0.8098730537754928,0.8148148148148148,0.17984444358832774
3,3,0.7973856209150327,0.7967743276385251,0.7973856209150327,0.7850398577910274,0.7973856209150327,0.20322567236147493
4,4,0.8362445414847162,0.8406684333939873,0.8362445414847162,0.8271602453469122,0.8362445414847162,0.15933156660601266
