,Fold,accuracy,precision,recall,f1-macro,f1-micro,fpr
0,0,0.7706766917293233,0.771456895663817,0.7706766917293233,0.7697361885705365,0.7706766917293233,0.22854310433618297
1,1,0.7819548872180451,0.7902330941936405,0.7819548872180451,0.781646286231884,0.7819548872180451,0.20976690580635948
2,2,0.8007518796992481,0.8005651972396745,0.8007518796992481,0.7992510003275093,0.8007518796992481,0.19943480276032555
3,3,0.7481203007518797,0.7489088949076367,0.7481203007518797,0.7480312734161825,0.7481203007518797,0.2510911050923633
4,4,0.8270676691729323,0.8280852507207869,0.8270676691729323,0.8269796380090497,0.8270676691729323,0.17191474927921313
