,Fold,accuracy,precision,recall,f1-macro,f1-micro,fpr
0,0,0.8586206896551725,0.8634979742878677,0.8586206896551725,0.8424142821168705,0.8586206896551725,0.13650202571213232
1,1,0.8637931034482759,0.8661799429127449,0.8637931034482759,0.8396640713848307,0.8637931034482759,0.13382005708725508
2,2,0.85,0.8517857142857143,0.85,0.8271201422507273,0.85,0.14821428571428574
3,3,0.8756476683937824,0.879721487174076,0.8756476683937824,0.8593674097263453,0.8756476683937824,0.12027851282592406
4,4,0.8307426597582038,0.8273623397821592,0.8307426597582038,0.7987015751383567,0.8307426597582038,0.17263766021784077
