,Fold,accuracy,precision,recall,f1-macro,f1-micro
0,0,0.8126361655773421,0.813217419099772,0.8126361655773421,0.8090386624869383,0.8126361655773421
1,1,0.7973856209150327,0.7988428314795704,0.7973856209150327,0.7819833807463853,0.7973856209150327
2,2,0.8322440087145969,0.8372752775102954,0.8322440087145969,0.8245700245700245,0.8322440087145969
3,3,0.8540305010893247,0.853067375856624,0.8540305010893247,0.8360513282545301,0.8540305010893247
4,4,0.8122270742358079,0.8111699345797415,0.8122270742358079,0.8020186179303135,0.8122270742358079
