,Fold,accuracy,precision,recall,f1-macro,f1-micro
0,0,0.8517241379310345,0.8629009221537663,0.8517241379310345,0.8395109395109395,0.8517241379310345
1,1,0.8655172413793103,0.8655172413793103,0.8655172413793103,0.8404232804232804,0.8655172413793103
2,2,0.85,0.8486226714229091,0.85,0.823427521651649,0.85
3,3,0.8655172413793103,0.8699449975312044,0.8655172413793103,0.8461036045230028,0.8655172413793103
4,4,0.8290155440414507,0.8287711624584129,0.8290155440414507,0.8025436018973672,0.8290155440414507
