"Fold","Accuracy","Precision","Recall","F1","F1-Macro","F1-Micro","FPR"
"1","0.8328","0.6959","0.8297","0.7569","0.8147","0.8328","0.1658"
"2","0.8552","0.7676","0.776","0.7717","0.8328","0.8552","0.1083"
"3","0.8534","0.7784","0.7486","0.7632","0.8286","0.8534","0.0982"
"4","0.886","0.8452","0.7802","0.8114","0.8649","0.886","0.0655"
"5","0.8877","0.8343","0.8022","0.8179","0.8684","0.8877","0.073"
