"Fold","Accuracy","Precision","Recall","F1","F1-Macro","F1-Micro","FPR"
"1","0.812","0.8376","0.7597","0.7967","0.811","0.8120","0.1387"
"2","0.8496","0.845","0.845","0.845","0.8495","0.8496","0.146"
"3","0.8271","0.832","0.8062","0.8189","0.8267","0.8271","0.1533"
"4","0.812","0.7926","0.8295","0.8106","0.812","0.8120","0.2044"
"5","0.8233","0.824","0.8047","0.8142","0.8229","0.8233","0.1594"
